Common,Royal,Monk
តើឯងអាចជួយបង្រៀនខ្ញុំបន្តិចបានទេពីព្រោះមេរៀនមួយនេះវាពិបាកសម្រាប់ខ្ញុំ?,តើព្រះអង្គអាចព្រះរាជទានដំបូន្មានដល់ទូលបង្គំបានទេពីព្រោះរឿងនេះពិបាក?,តើព្រះតេជគុណអាចសម្តែងធម៌ប្រាប់ករុណាបន្តិចបានទេពីព្រោះរឿងនេះវាពិបាក?
ថ្ងៃនេះខ្ញុំមានអារម្មណ៍ថាហត់ខ្លាំងណាស់បន្ទាប់ពីធ្វើការងារតាំងពីព្រឹកមក។,ថ្ងៃនេះទូលបង្គំមានអារម្មណ៍ថាហត់នឿយខ្លាំងបន្ទាប់ពីបំពេញរាជកិច្ចតាំងពីព្រឹក។,ថ្ងៃនេះករុណាមានអារម្មណ៍ថាហត់នឿយខ្លាំងបន្ទាប់ពីបំពេញកិច្ចវិន័យតាំងពីព្រឹក។
ឯងធ្វើការងារនេះរួចហើយឬនៅខ្ញុំចង់ដឹងលទ្ធផល។,តើព្រះអង្គបានបំពេញព្រះរាជកិច្ចនេះរួចហើយឬនៅទូលបង្គំចង់ជ្រាប។,តើព្រះតេជគុណបានបំពេញកិច្ចនេះរួចហើយឬនៅករុណាចង់ជ្រាប។
ឯងមកដល់ទីនេះតាំងពីម៉ោងប៉ុន្មាន?,តើព្រះអង្គយាងមកដល់ទីនេះតាំងពីម៉ោងប៉ុន្មាន?,តើព្រះតេជគុណនិមន្តមកដល់ទីនេះតាំងពីម៉ោងប៉ុន្មាន?
ខ្ញុំសប្បាយចិត្តណាស់ដែលបានធ្វើការជាមួយអ្នក។,ទូលបង្គំមានសេចក្តីសោមនស្សក្រៃលែងដែលបានបំពេញរាជកិច្ចជាមួយព្រះអង្គ។,ករុណាមានសេចក្តីសោមនស្សដែលបានបំពេញកិច្ចជាមួយព្រះតេជគុណ។
ឯងសម្រាកបន្តិចទៅកុំធ្វើការលើសកម្លាំង។,សូមព្រះអង្គសម្រាកព្រះវរកាយបន្តិចកុំបំពេញរាជកិច្ចលើសកម្លាំង។,សូមព្រះតេជគុណសម្រាកបន្តិចទៅកុំបំពេញកិច្ចលើសកម្លាំង។
តើអ្នកអាចប្រាប់ខ្ញុំម្ដងទៀតបានទេខ្ញុំមិនទាន់យល់ច្បាស់?,តើព្រះអង្គអាចព្រះរាជពន្យល់ទូលបង្គំម្ដងទៀតបានទេទូលបង្គំមិនទាន់យល់ច្បាស់?,តើព្រះតេជគុណអាចពន្យល់ករុណាម្ដងទៀតបានទេករុណាមិនទាន់យល់?
ថ្ងៃស្អែកឯងមានពេលទំនេរទេយើងទៅលេងជាមួយគ្នា។,ថ្ងៃស្អែកព្រះអង្គមានពេលទំនេរទេទូលបង្គំចង់យាងទៅជាមួយ។,ថ្ងៃស្អែកព្រះតេជគុណមានពេលទំនេរទេករុណាចង់និមន្តទៅជាមួយ។
តើអ្នកគិតថាគំនិតនេះល្អទេឬត្រូវកែបន្តិចទៀត?,តើព្រះអង្គទ្រង់យល់ឃើញថាគំនិតនេះសមរម្យទេឬគួរព្រះរាជពិចារណាបន្ថែម?,តើព្រះតេជគុណយល់ឃើញថាគំនិតនេះសមរម្យទេឬគួរពិចារណាបន្ថែម?
ឯងមានបញ្ហាអ្វីប្រាប់ខ្ញុំបាន។,បើព្រះអង្គមានព្រះបន្ទុកអ្វីសូមព្រះរាជបន្ទូលប្រាប់ទូលបង្គំ។,បើព្រះតេជគុណមានបញ្ហាអ្វីសូមមេត្តាប្រាប់ករុណា។
ឯងធ្លាប់ធ្វើរឿងនេះពីមុនទេ?,តើព្រះអង្គធ្លាប់បំពេញព្រះរាជកិច្ចនេះពីមុនឬនៅ?,តើព្រះតេជគុណធ្លាប់បំពេញកិច្ចនេះពីមុនឬនៅ?
ឯងគួរតែសម្រាកឥឡូវនេះ។,ព្រះអង្គគួរតែសម្រាកព្រះវរកាយនៅពេលនេះ។,ព្រះតេជគុណគួរតែសម្រាកនៅពេលនេះ។
ឯងមកយឺតបន្តិចតែវាមិនអីទេ។,ព្រះអង្គយាងមកយឺតបន្តិចតែទូលបង្គំមិនមានបញ្ហាអ្វីឡើយ។,ព្រះតេជគុណនិមន្តមកយឺតបន្តិចតែករុណាមិនមានបញ្ហាទេ។
សូមកុំភ្លេចអ្វីដែលខ្ញុំបានប្រាប់។,សូមព្រះអង្គកុំភ្លេចអ្វីដែលទូលបង្គំបានក្រាបបង្គំទូល។,សូមព្រះតេជគុណកុំភ្លេចអ្វីដែលករុណាបានជម្រាប។
ចៅចូលចិត្តសៀវភៅនោះមែនទេ?,តើព្រះអង្គទ្រង់មានព្រះរាជព្រះហឫទ័យពេញចិត្តចំពោះសៀវភៅនោះមែនទេ?,តើព្រះតេជគុណមានសេចក្តីពេញចិត្តចំពោះសៀវភៅនោះមែនទេ?
ខ្ញុំមិនគិតអញ្ចឹងទេ!,ទូលព្រះបង្គំមិនយល់ឃើញដូច្នោះទេ!,ករុណាមិនយល់ឃើញដូច្នោះទេ!
មិនអីទេ!ទុកចិត្តលើខ្ញុំចុះ។,មិនមានបញ្ហាអ្វីឡើយសូមព្រះអង្គទុកព្រះរាជទំនុកចិត្តលើទូលព្រះបង្គំ។,មិនមានបញ្ហាអ្វីឡើយសូមព្រះតេជគុណទុកចិត្តលើករុណា។
តើខ្ញុំមានធ្វើអ្វីខុសទៅ?,តើទូលព្រះបង្គំមានបានប្រព្រឹត្តអ្វីខុសឬទេ?,តើករុណាមានបានប្រព្រឹត្តអ្វីខុសឬទេ?
ចៅសូមអរគុណលោកតាខ្លាំងណាស់,ទូលព្រះបង្គំសូមព្រះរាជអរគុណព្រះអង្គយ៉ាងក្រៃលែង!,ករុណាសូមអរព្រះគុណព្រះតេជគុណយ៉ាងខ្លាំង!
យប់នោះម្តាយយល់សប្តិចម្លែកណាស់។,ព្រះមាតាបានមានព្រះសុបិនអស្ចារ្យនៅរាត្រីនោះ។,មាតាបានមានសុបិនប្លែកនៅរាត្រីនៃការប្រសូត។
នាងទៅសួរហោរឱ្យទាយសប្តិ។,នាងបានទៅសូមឲ្យហោរាបកស្រាយព្រះសុបិន។,នាងបានទៅសុំហោរាបកស្រាយសុបិន។
កុមារនោះឆ្លាតជាងគេ។,កុមារនោះមានព្រះប្រាជ្ញាពិសេស។,កុមារនោះមានបញ្ញាឈ្លាសវៃ។
សំឡេងចម្រៀងធ្វើឲ្យមនុស្សម្នាក់ចាប់អារម្មណ៍។,សំឡេងចម្រៀងដ៏ពិរោះបានធ្វើឲ្យព្រះទ័យអ្នកស្តាប់រីករាយ។,សំឡេងចម្រៀងបានបង្កើតការស្ងប់ស្ងាត់ក្នុងចិត្តអ្នកស្តាប់។
តើអ្នកមានឈ្មោះអ្វី?,តើព្រះអង្គមានព្រះនាមថាអ្វី?,តើព្រះតេជគុណមានឈ្មោះថាអ្វី?
តើអ្នកនឹកស្រុកកំណើតរបស់អ្នកទេ?,តើព្រះអង្គនឹកស្រុកកំណើតរបស់ព្រះអង្គទេ?,តើព្រះតេជគុណនឹកស្រុកកំណើតរបស់ព្រះអង្គទេ?
គាត់កំពុងដេក។,ព្រះអង្គកំពុងផ្ទំ។,ព្រះតេជគុណកំពុងសឹង។
ជីវិតមនុស្សអាស្រ័យលើវាសនា។,ព្រះជីវិតស្ថិតក្រោមព្រះវាសនា។,ជីវិតសត្វលោកស្ថិតក្រោមអំណាចវាសនា។
ក្តីសង្ឃឹមផ្តល់កម្លាំងឲ្យបន្តទៅមុខ។,ក្តីសង្ឃឹមជាព្រះកម្លាំងចិត្តនាំឲ្យបន្តព្រះដំណើរ។,ក្តីសង្ឃឹមជាកម្លាំងចិត្តនាំឲ្យបន្តដំណើរធម៌។
គាត់កំពុងទៅផ្ទះ។,ព្រះអង្គកំពុងស្តេចទៅកាន់ព្រះទីនាំង។,ព្រះអង្គកំពុងនិមន្តទៅកាន់ទីស្នាក់។
គាត់កំពុងនិយាយ។,ព្រះអង្គកំពុងមានព្រះបន្ទូល។,ព្រះអង្គកំពុងមានធម្មកថា។
អ្វីដែលឯងនិយាយមកនេះខ្ញុំយល់ព្រមទាំងស្រុង។,អ្វីដែលព្រះអង្គបានមានព្រះបន្ទូលមកនេះទូលព្រះបង្គំយល់ព្រមទាំងស្រុង។,អ្វីដែលព្រះតេជគុណបានមានធម្មវាចន៍មកនេះករុណាយល់ព្រមទាំងស្រុង។
បើមានបញ្ហាអ្វីឯងអាចប្រាប់ខ្ញុំបានគ្រប់ពេល។,ប្រសិនបើមានព្រះរាជកិច្ចលំបាកអ្វីសូមព្រះអង្គមានព្រះបន្ទូលប្រាប់ទូលព្រះបង្គំបានគ្រប់ពេល។,ប្រសិនបើមានកិច្ចលំបាកអ្វីព្រះតេជគុណអាចមានព្រះវាចន៍ប្រាប់ករុណាបានគ្រប់ពេល។
បើឯងមានពេលទំនេរសូមជួយខ្ញុំបន្តិចបានទេ?,ប្រសិនបើព្រះអង្គមានព្រះរាជពេលទំនេរសូមព្រះមេត្តាប្រោសប្រទានការណែនាំដល់ទូលព្រះបង្គំបន្តិចបានទេ?,ប្រសិនបើព្រះតេជគុណមានពេលទំនេរសូមមេត្តាជួយណែនាំករុណាបន្តិចបានទេ?
ថ្ងៃនេះឯងមកដល់លឿនណាស់មិននឹកស្មានថាជួបឯងឆាប់បែបនេះទេ។,ថ្ងៃនេះព្រះអង្គយាងមកដល់លឿនណាស់ទូលព្រះបង្គំមិននឹកស្មានថានឹងបានទទួលព្រះរាជសម្តែងឆាប់បែបនេះទេ។,ថ្ងៃនេះព្រះតេជគុណនិមន្តមកដល់លឿនណាស់ករុណាមិននឹកស្មានថានឹងបានជួបឆាប់បែបនេះទេ។
ឯងគួរតែគិតឲ្យល្អមុនធ្វើសេចក្តីសម្រេចចិត្ត។,ព្រះអង្គគប្បីព្រះរាជពិចារណាឲ្យម៉ត់ចត់មុនធ្វើព្រះរាជសេចក្តីសម្រេច។,ព្រះតេជគុណគប្បីពិចារណាឲ្យម៉ត់ចត់មុនធ្វើសេចក្តីសម្រេចចិត្ត។
កុំប្រើពាក្យខ្លាំងៗព្រោះវាអាចធ្វើឲ្យអ្នកដទៃឈឺចិត្ត។,សូមព្រះអង្គប្រុងប្រយ័ត្នព្រះរាជវាចាព្រោះវាអាចប៉ះពាល់ព្រះហឫទ័យអ្នកដទៃ។,សូមព្រះតេជគុណប្រុងប្រយ័ត្នព្រះវាចាព្រោះវាអាចប៉ះពាល់ចិត្តអ្នកដទៃ។
ឯងកុំប្រញាប់វិនិច្ឆ័យមនុស្សពីរូបរាងក្រៅ។,ព្រះអង្គមិនគួរព្រះរាជវិនិច្ឆ័យមនុស្សតាមរូបរាងក្រៅឡើយ។,ព្រះតេជគុណមិនគួរវិនិច្ឆ័យមនុស្សតាមរូបរាងក្រៅឡើយ។
ឯងគួរតែស្តាប់មតិអ្នកដទៃផង។,ព្រះអង្គគប្បីទទួលព្រះរាជសណ្ដាប់មតិអ្នកដទៃផងដែរ។,ព្រះតេជគុណគប្បីទទួលស្តាប់មតិអ្នកដទៃផងដែរ។
កុំប្រើប្រាជ្ញាដើម្បីធ្វើអាក្រក់។,សូមព្រះអង្គកុំប្រើព្រះប្រាជ្ញាដើម្បីប្រព្រឹត្តអំពើអាក្រក់។,សូមព្រះតេជគុណកុំប្រើប្រាជ្ញាដើម្បីប្រព្រឹត្តអំពើអាក្រក់។
ឯងគួរតែរក្សាសេចក្តីស្មោះត្រង់ជានិច្ច។,ព្រះអង្គគប្បីរក្សាព្រះរាជសេចក្តីស្មោះត្រង់ជានិច្ច។,ព្រះតេជគុណគប្បីរក្សាសេចក្តីស្មោះត្រង់ជានិច្ច។
កុំអួតពីអ្វីដែលឯងមាន។,ព្រះអង្គមិនគួរព្រះរាជអួតអាងពីអ្វីដែលទ្រង់មានឡើយ។,ព្រះតេជគុណមិនគួរអួតអាងពីអ្វីដែលព្រះអង្គមានឡើយ។
កុំប្រញាប់ជឿពាក្យគេដោយងាយ។,ព្រះអង្គមិនគួរព្រះរាជប្រញាប់ជឿពាក្យអ្នកដទៃដោយងាយឡើយ។,ព្រះតេជគុណមិនគួរប្រញាប់ជឿពាក្យអ្នកដទៃដោយងាយឡើយ។
ការចេះស្ដាប់ធ្វើឲ្យឯងយល់អ្នកដទៃកាន់តែច្បាស់។,ការចេះព្រះរាជសណ្ដាប់គប្បីនាំឲ្យយល់អ្នកដទៃកាន់តែច្បាស់។,ការចេះស្ដាប់គប្បីនាំឲ្យយល់អ្នកដទៃកាន់តែច្បាស់។
ខ្ញុំងូតទឹកនៅពេលព្រឹក។,ទូលបង្គំស្រង់នៅពេលព្រឹក។,អាត្មាស្រង់ទឹកនៅពេលព្រឹក។
គាត់ឆ្លងកាត់ឆ្នេរសមុទ្របានទៅដល់កោះមួយដែលមានដើមធ្លកដុះបែកមែកសាខាត្រសុំត្រសាយ,ព្រះអង្គនិមន្ដកាត់តាមឆ្នេរមហាសាគរបានយាងទៅដល់កោះមួយដែលមានដើមធ្លកដុះបែកមែកសាខាត្រសុំត្រសាយ,ព្រះតេជគុណបាននិមន្តឆ្លងកាត់ឆ្នេរសមុទ្រទៅដល់កោះមួយដែលមានដើមធ្លកដុះបែកមែកសាខាត្រសុំត្រសាយ
នៅក្រោមដើមធ្លកនោះមានរូងមួយយ៉ាងជ្រៅដែលជាផ្លូវចេញចូលរបស់ស្ដេចភុជង្គនាគសំរាប់ចេញចូលមកលេង,នៅក្រោមដើមធ្លកនោះមានរូងមួយយ៉ាងជ្រៅដែលជាផ្លូវចេញចូលរបស់ស្ដេចភុជង្គនាគសំរាប់ចេញចូលមកក្រសាលលេង,នៅក្រោមដើមធ្លកនោះមានរូងមួយយ៉ាងជ្រៅដែលជាផ្លូវនិមន្តចេញចូលរបស់ស្តេចភុជង្គនាគសម្រាប់និមន្តចេញចូលមកលេង
ទេវតាដែលថែរក្សាដើមធ្លកបានរៀបចំកន្លែងសំរាប់ទទួលព្រះអង្គនិងទេវតាទាំងឡាយដែលនឹងត្រូវចូលមកថ្វាយបង្គំព្រះពុទ្ធ,ទេវតាដែលថែរក្សាដើមធ្លកបានរៀបចំទីកន្លែងសំរាប់ទទួលព្រះអង្គនិងទេវតាទាំងឡាយដែលនឹងត្រូវចូលមកគាល់ថ្វាយបង្គំព្រះពុទ្ធ,ទេវតាដែលថែរក្សាដើមធ្លកបានរៀបចំទីកន្លែងសំរាប់ទទួលព្រះតេជគុណនិងទេវតាទាំងឡាយដែលនឹងត្រូវចូលមកគាល់ថ្វាយបង្គំព្រះពុទ្ធ
ស្តេចភុជង្គនាគដែលបានចេញមកដើរលេងនៅទីទួលដើមធ្លកបានយល់ឃើញព្រះពុទ្ធកាលណាក៏ប្ដូរខ្លួនជាមនុស្ស,ស្ដេចភុជង្គនាគដែលបានយាងចេញមកក្រសាលនៅទីទួលដើមធ្លកបានយល់ឃើញព្រះពុទ្ធកាលណាក៏តំណែងខ្លួនជាមនុស្ស,ស្ដេចភុជង្គនាគដែលបាននិមន្តចេញមកក្រសាលនៅទីទួលដើមធ្លកបានយល់ឃើញព្រះពុទ្ធកាលណាក៏តំណែងខ្លួនជាមនុស្ស
ជាមួយគ្នានោះដែរព្រះឥន្រ្ទកោសីយទេវបុត្រទេវតាទេពអប្សរនិងទេពនិករគ្រប់ទិសទីក៏បាននាំគ្នាមូលមីកុះករចុះមកថ្វាយបង្គំព្រះពុទ្ធដែរ,ជាមួយគ្នានោះដែរព្រះឥន្រ្ទកោសីយទេវបុត្រទេវតាទេពអប្សរនិងទេពនិករគ្រប់ទិសទីក៏បាននាំគ្នាមូលមីកុះករចុះមកថ្វាយបង្គំគាល់ព្រះពុទ្ធជាអម្ចាស់ដែរ,ជាមួយគ្នានោះដែរព្រះឥន្រ្ទកោសីយទេវបុត្រទេវតាទេពអប្សរនិងទេពនិករគ្រប់ទិសទីក៏បាននាំគ្នាមូលមីកុះករចុះមកថ្វាយបង្គំគាល់ព្រះពុទ្ធជាអម្ចាស់ដែរ
ពេលព្រឹកព្រលឹមព្រះពុទ្ធចាប់ផ្ដើមពិចារណាពិនិត្យមើលនិស្ស័យសត្វលោកទាំងអស់ជិតឆ្ងាយដែលលោកត្រូវទៅប្រោស។,ព្រឹកព្រហាមស្រាងៗកាលណាព្រះពុទ្ធអង្គចាប់ផ្ដើមស្មឹងស្មាតប្រមើមើលនិស្ស័យអស់គ្រប់សព្វសត្វជិតឆ្ងាយដែលព្រះអង្គត្រូវនិមន្ដទៅប្រោស,ព្រឹកព្រហាមស្រាងៗកាលណាព្រះពុទ្ធអង្គចាប់ផ្ដើមស្មឹងស្មាតប្រមើមើលនិស្ស័យអស់គ្រប់សព្វសត្វជិតឆ្ងាយដែលព្រះតេជគុណត្រូវនិមន្ដទៅប្រោស
បន្ទាប់មកគាត់ញ៉ាំបាយ,បន្ទាប់មកព្រះអង្គទ្រង់សោយចង្ហាន់,បន្ទាប់មកព្រះតេជគុណឆាន់ចង្ហាន់
សត្វត្រកួតដែលរស់នៅលើដើមធ្លកក៏ចេញមកគោរពព្រះពុទ្ធ,សត្វត្រកួតដែលរស់នៅលើដើមធ្លកក៏ចេញខ្លួនមកថ្វាយបង្គំព្រះពុទ្ធបរមគ្រូ,សត្វត្រកួតដែលរស់នៅលើដើមធ្លកក៏ចេញខ្លួនមកថ្វាយបង្គំព្រះពុទ្ធបរមគ្រូ
គាត់បានពូតបាយហើយបោះអោយទៅសត្វត្រកួតនោះទុកធ្វើជាអាហារឆ្ងាញ់ពេកត្រកួតលិតមាត់លិតកលៀនអណ្ដាតចេញមកក្រៅ,ព្រះអង្គបានពូតបាយហើយបោះអោយទៅសត្វត្រកួតនោះទុកធ្វើជាអាហារឆ្ងាញ់ពេកត្រកួតលិតមាត់លិតកលៀនអណ្ដាតចេញមកក្រៅ,ព្រះតេជគុណបានពូតបាយហើយបោះអោយទៅសត្វត្រកួតនោះទុកធ្វើជាអាហារឆ្ងាញ់ពេកត្រកួតលិតមាត់លិតកលៀនអណ្ដាតចេញមកក្រៅ
ឃើញត្រកួតមានអណ្ដាតព្រែកចេញជាពីរព្រះពុទ្ធឈ្ងោកមុខសំលឹងទៅដីដោយក្ដីញញឹម,ទតឃើញត្រកួតមានអណ្ដាតព្រែកចេញជាពីរព្រះពុទ្ធលោកទ្រង់ឈ្ងោកព្រះភ័ក្រ្ដសំលឹងទៅព្រះធរណីដោយក្ដីញញឹម,ទតឃើញត្រកួតមានអណ្ដាតព្រែកចេញជាពីរព្រះពុទ្ធលោកទ្រង់ឈ្ងោកព្រះភ័ក្រ្ដសំលឹងទៅព្រះធរណីដោយក្ដីញញឹម
ឃើញបែបនេះលោកអានន្ទឆ្ងល់ណាស់ក៏បានសួរសុំអោយលោកពន្យល់អំពីហេតុផល,ឃើញដូច្នោះព្រះអានន្ទឆ្ងល់ណាស់ក៏ថ្វាយបង្គំទូលសួរសុំអោយព្រះអង្គពន្យល់អំពីហេតុផល,ឃើញដូច្នោះព្រះអានន្ទឆ្ងល់ណាស់ក៏សុំសួរអោយព្រះតេជគុណពន្យល់អំពីហេតុផល
បានកើតជាកូនប្រុសស្ដេចនគរឥន្ទព័ទ្ធហើយនឹងមកគ្រប់គ្រងនគរគោកធ្លក។,បានកើតជាព្រះរាជបុត្រស្ដេចនគរឥន្ទព័ទ្ធហើយនឹងយាងមកសោយរាជ្យសម្បត្ដិនៅនគរគោកធ្លក,បានកើតជាព្រះរាជបុត្រស្ដេចនគរឥន្ទព័ទ្ធហើយនឹងនិមន្តមកសោយរាជ្យសម្បត្ដិនៅនគរគោកធ្លក
